"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.211666427E-4,-3.979774017E0,4.251309357E0,7.686815186E0,9.643617587E0
1.086216664E-2,-3.602109375E0,4.126918030E0,7.384144592E0,9.194141381E0
2.090316665E-2,-3.251388702E0,4.000580750E0,7.285350037E0,8.924824927E0
3.094416665E-2,-3.184777222E0,3.930676117E0,7.517816620E0,9.061489249E0
4.098516665E-2,-3.342399445E0,3.957769775E0,7.994724884E0,9.526342510E0
5.102616665E-2,-3.287763062E0,3.995641022E0,8.454119568E0,9.911945863E0
6.106716665E-2,-3.265160065E0,4.005221100E0,8.582253113E0,1.001789074E1
7.110816665E-2,-3.388054504E0,4.081412659E0,8.595276031E0,1.010027785E1
8.114916665E-2,-3.513942719E0,4.140390015E0,8.414751434E0,1.001492210E1
9.119016665E-2,-3.573069763E0,4.193379822E0,8.202193451E0,9.880649739E0
1.012311667E-1,-3.673510895E0,4.245022430E0,7.941735077E0,9.725536168E0
1.112721667E-1,-3.823049927E0,4.327201538E0,7.818241882E0,9.719325595E0
1.213131667E-1,-3.830085297E0,4.292174377E0,7.776927795E0,9.673309682E0
1.313541667E-1,-3.709286499E0,4.239184570E0,7.828121338E0,9.644116125E0
1.413941667E-1,-3.587888947E0,4.212240601E0,7.918383636E0,9.660057835E0
1.514351667E-1,-3.563040619E0,4.174968109E0,7.942483521E0,9.654463301E0
1.614761667E-1,-3.609444122E0,4.180805969E0,8.235873413E0,9.916493145E0
1.715171667E-1,-3.527265015E0,4.143683167E0,8.626860352E0,1.019972687E1
1.815581667E-1,-3.488046570E0,4.043990479E0,8.687633972E0,1.019780917E1
1.915991667E-1,-3.468437347E0,3.993096313E0,8.635841675E0,1.012682760E1
2.016401667E-1,-3.434008942E0,3.957470398E0,8.505462799E0,9.989839177E0
2.116811667E-1,-3.499871979E0,3.961362305E0,8.285719757E0,9.828257581E0
2.217221667E-1,-3.666026459E0,3.981570282E0,8.268954620E0,9.882725455E0
2.317631667E-1,-3.720812531E0,3.881278839E0,8.295449524E0,9.885507277E0
2.418041666E-1,-3.465293884E0,3.821103973E0,8.050858154E0,9.561663783E0
2.518451666E-1,-3.239413605E0,3.832180939E0,8.036338348E0,9.474288643E0
2.618861666E-1,-3.199147339E0,3.769012299E0,8.346942444E0,9.701105378E0
2.719261667E-1,-3.912414093E0,3.303929443E0,8.446784821E0,9.877808846E0
2.819671667E-1,-3.422183533E0,3.600163422E0,9.266929321E0,1.051420448E1
2.920081667E-1,-3.527265015E0,3.545527039E0,9.632469177E0,1.085342448E1
3.020491666E-1,-3.570824432E0,3.088227997E0,9.590406647E0,1.068942650E1
3.120901666E-1,-2.897823944E0,2.755769348E0,9.663754120E0,1.045847943E1
3.221311666E-1,-2.217788086E0,2.541115723E0,9.415570221E0,1.000144068E1
3.321721666E-1,-1.911824341E0,2.477348328E0,8.615633698E0,9.166322657E0
3.422131666E-1,-2.259102173E0,2.349663849E0,7.939789124E0,8.582815048E0
3.522541666E-1,-2.670446777E0,2.133513336E0,8.247249756E0,8.927502096E0
3.622951666E-1,-2.438279572E0,2.063758392E0,8.731642456E0,9.297627974E0
3.723361666E-1,-2.488425293E0,2.202519836E0,9.382489014E0,9.953615130E0
3.823771667E-1,-2.658621368E0,2.299518127E0,9.467811584E0,1.009928252E1
3.924181667E-1,-3.088527374E0,1.998643799E0,9.046587524E0,9.765977893E0
4.024581666E-1,-2.918331299E0,1.104553070E0,8.547375641E0,9.099138718E0
4.124991666E-1,-2.527494049E0,2.349963226E0,9.345366211E0,9.962249894E0
4.225401666E-1,-3.959116974E0,2.800825653E0,8.858279114E0,1.009892769E1
4.325811666E-1,-3.208428040E0,2.829715576E0,8.203840027E0,9.252258747E0
4.426221667E-1,-2.907853088E0,2.645149384E0,8.010442200E0,8.922982073E0
4.526631667E-1,-3.492986298E0,2.423310699E0,7.945776672E0,9.011590034E0
4.627041667E-1,-3.594325562E0,2.402653656E0,8.193661194E0,9.264340483E0
4.727451667E-1,-3.696862335E0,2.456391907E0,8.797505493E0,9.853768580E0
4.827861667E-1,-4.343367920E0,2.590962067E0,8.858129425E0,1.020021501E1
4.928271667E-1,-3.828738098E0,2.471959534E0,8.629105682E0,9.758651763E0
5.028681667E-1,-3.153791656E0,2.393372955E0,8.456664276E0,9.337548211E0
5.129091667E-1,-1.938468933E0,2.712658997E0,8.867559814E0,9.473636984E0
5.229501667E-1,1.529070282E0,2.781066742E0,9.165290680E0,9.699223752E0
5.329901667E-1,-1.142873383E0,1.950444031E0,8.662486267E0,8.952600729E0
5.430311667E-1,-6.501130829E0,1.785037994E0,1.044078827E1,1.242823891E1
5.530721667E-1,-6.776408386E0,2.139051819E0,1.027687912E1,1.249437865E1
5.631131667E-1,-4.871020660E0,2.387834473E0,8.642128601E0,1.020367495E1
5.731541667E-1,-3.578458557E0,2.562521210E0,8.733139343E0,9.779550265E0
5.831951667E-1,-3.287164307E0,2.672243042E0,9.819729767E0,1.069455117E1
5.932361667E-1,-4.298012238E0,2.857108612E0,9.786349182E0,1.106384242E1
6.032771667E-1,-5.206173706E0,3.030747528E0,8.746461639E0,1.062027619E1
6.133181667E-1,-5.645959167E0,3.248993683E0,8.012986908E0,1.032670199E1
6.233591666E-1,-5.321434021E0,2.993924103E0,7.289990387E0,9.509216656E0
6.334001666E-1,-4.723128204E0,2.433339844E0,6.885232086E0,8.696867465E0
6.434411666E-1,-4.906197510E0,2.053280182E0,6.846163330E0,8.669295580E0
6.534821666E-1,-5.798042908E0,1.945354614E0,6.680457916E0,9.057053831E0
6.635231666E-1,-6.596332855E0,1.997146912E0,6.143674164E0,9.232818375E0
6.735631667E-1,-6.687493286E0,2.301314392E0,5.320685577E0,8.850328208E0
6.836041666E-1,-6.195466461E0,2.229613495E0,4.463118896E0,7.954521437E0
6.936451666E-1,-5.870342560E0,2.133213959E0,3.639830933E0,7.229100413E0
7.036861666E-1,-5.881718903E0,2.262095947E0,3.495531006E0,7.206277287E0
7.137271666E-1,-5.463039551E0,2.274220734E0,3.958967285E0,7.119712287E0
7.237681666E-1,-5.035229187E0,2.273921356E0,3.824247437E0,6.719309470E0
7.338091666E-1,-5.594765625E0,2.077829132E0,3.838916931E0,7.096200357E0
7.438501666E-1,-7.169041901E0,2.332749023E0,4.382137299E0,8.720092149E0
7.538911666E-1,-8.058641968E0,3.286864929E0,6.237978058E0,1.070782712E1
7.639321667E-1,-8.200097809E0,2.820135498E0,4.096082153E0,9.590237604E0
7.739731667E-1,-8.389154663E0,2.696642303E0,2.894081726E0,9.274993515E0
7.840141667E-1,-8.410111084E0,3.232827301E0,2.439327393E0,9.334423331E0
7.940551667E-1,-8.057444458E0,3.721111908E0,1.615440674E0,9.021016217E0
8.040951666E-1,-7.865693207E0,4.253554688E0,1.045126648E0,9.003007654E0
8.141361666E-1,-7.023843842E0,4.213587799E0,7.198530579E-1,8.222341082E0
8.241771667E-1,-6.249504089E0,3.924688568E0,3.728746033E-1,7.389080943E0
8.342181667E-1,-6.060297546E0,3.918701019E0,-8.906478882E-2,7.217434209E0
8.442591667E-1,-6.234984283E0,3.925137634E0,-4.490661621E-4,7.367613906E0
8.543000000E-1,-6.077811127E0,3.868854675E0,-6.930587769E-2,7.205041839E0
8.643410000E-1,-6.045328674E0,3.986510010E0,-2.743794250E-1,7.246623000E0
8.743820000E-1,-6.498137054E0,4.493805084E0,-2.671943665E-1,7.905154150E0
8.844230000E-1,-6.821464691E0,4.804109802E0,-5.291496277E-1,8.360134619E0
8.944640000E-1,-7.522756348E0,4.395010529E0,-9.366023254E-1,8.762716732E0
9.045050000E-1,-7.830067291E0,3.797303467E0,-1.578916626E0,8.844345375E0
9.145460000E-1,-7.296127625E0,3.270698547E0,-2.218087463E0,8.297641791E0
9.245870000E-1,-6.643634491E0,2.975512390E0,-2.615960083E0,7.735295753E0
9.346270000E-1,-6.493646393E0,2.976560211E0,-2.926414490E0,7.719537287E0
9.446680000E-1,-6.782246246E0,3.141068115E0,-3.594325562E0,8.293633058E0
9.547090000E-1,-7.584877167E0,3.330124969E0,-4.160747681E0,9.269946883E0
9.647500000E-1,-8.633596344E0,3.075205078E0,-4.223766632E0,1.009138626E1
9.747910000E-1,-9.407936096E0,2.409239960E0,-4.398453369E0,1.066114866E1
9.848320000E-1,-9.441915436E0,2.016456757E0,-4.653972015E0,1.071799051E1
9.948730000E-1,-9.743538208E0,1.548978882E0,-4.696184235E0,1.092657397E1
1.004914000E0,-9.203910370E0,9.598040771E-1,-4.293222198E0,1.020122281E1
